market,commodity,year,month,cpi
Kumasi,Cassava,2010,1,279.5
Kumasi,Cassava,2010,2,284
Kumasi,Cassava,2010,3,287.1
Kumasi,Cassava,2010,4,292.1
Kumasi,Cassava,2010,5,298.6
Kumasi,Cassava,2010,6,305.4
Kumasi,Cassava,2010,7,306
Kumasi,Cassava,2010,8,300.5
Kumasi,Cassava,2010,9,290.6
Kumasi,Cassava,2010,10,284.1
Kumasi,Cassava,2010,11,285.4
Kumasi,Cassava,2010,12,288.3
Kumasi,Cassava,2011,1,293
Kumasi,Cassava,2011,2,297
Kumasi,Cassava,2011,3,300.6
Kumasi,Cassava,2011,4,304.3
Kumasi,Cassava,2011,5,310.4
Kumasi,Cassava,2011,6,313.9
Kumasi,Cassava,2011,7,316
Kumasi,Cassava,2011,8,311.9
Kumasi,Cassava,2011,9,301.4
Kumasi,Cassava,2011,10,295.6
Kumasi,Cassava,2011,11,298
Kumasi,Cassava,2011,12,300.6
Kumasi,Cassava,2012,1,97.4958
Kumasi,Cassava,2012,2,98.641
Kumasi,Cassava,2012,3,98.641
Kumasi,Cassava,2012,4,101.4071
Kumasi,Cassava,2012,5,101.4071
Kumasi,Cassava,2012,6,102.1679
Kumasi,Cassava,2012,7,103.9148
Kumasi,Cassava,2012,8,101.9171
Kumasi,Cassava,2012,9,97.3699
Kumasi,Cassava,2012,10,98.5842
Kumasi,Cassava,2012,11,98.9502
Kumasi,Cassava,2012,12,99.6234
Kumasi,Cassava,2013,1,105.273
Kumasi,Cassava,2013,2,105.273
Kumasi,Cassava,2013,3,105.273
Kumasi,Cassava,2013,4,108.0738
Kumasi,Cassava,2013,5,108.0738
Kumasi,Cassava,2013,6,109.6575
Kumasi,Cassava,2013,7,111.53
Kumasi,Cassava,2013,8,110.0008
Kumasi,Cassava,2013,9,106.0242
Kumasi,Cassava,2013,10,105.3739
Kumasi,Cassava,2013,11,106.1582
Kumasi,Cassava,2013,12,106.8374
Kumasi,Cassava,2014,1,112.7433
Kumasi,Cassava,2014,2,113.1858
Kumasi,Cassava,2014,3,113.92
Kumasi,Cassava,2014,4,115.6005
Kumasi,Cassava,2014,5,116.7307
Kumasi,Cassava,2014,6,118.3548
Kumasi,Cassava,2014,7,117.1318
Kumasi,Cassava,2014,8,115.7
Kumasi,Cassava,2014,9,112.1683
Kumasi,Cassava,2014,10,112.243
Kumasi,Cassava,2014,11,113.2103
Kumasi,Cassava,2014,12,114.0564
Kumasi,Cassava,2015,1,120.5275
Kumasi,Cassava,2015,2,121.1263
Kumasi,Cassava,2015,3,122.0781
Kumasi,Cassava,2015,4,123.8958
Kumasi,Cassava,2015,5,125.2882
Kumasi,Cassava,2015,6,127.111
Kumasi,Cassava,2015,7,126.0348
Kumasi,Cassava,2015,8,124.5137
Kumasi,Cassava,2015,9,120.9395
Kumasi,Cassava,2015,10,121.0138
Kumasi,Cassava,2015,11,122.1764
Kumasi,Cassava,2015,12,123.1852
Kumasi,Cassava,2016,1,130.3701
Kumasi,Cassava,2016,2,131.1867
Kumasi,Cassava,2016,3,132.2356
Kumasi,Cassava,2016,4,134.2526
Kumasi,Cassava,2016,5,135.9292
